timestamp,vesc_id,tachometer_raw
1753360027.054014206,46,10518
1753360027.061381340,28,10498
1753360027.073984146,46,10520
1753360027.081358194,28,10500
1753360027.095253706,46,10521
1753360027.101783752,28,10501
1753360027.113889217,46,10522
1753360027.121202707,28,10502
1753360027.133904219,46,10524
1753360027.141259432,28,10504
1753360027.153745890,46,10525
1753360027.161259890,28,10505
1753360027.173682690,46,10527
1753360027.181197166,28,10507
1753360027.193737984,46,10528
1753360027.201070547,28,10508
1753360027.213682413,46,10529
1753360027.221160412,28,10510
1753360027.234437466,46,10531
1753360027.241079092,28,10511
1753360027.253717184,46,10532
1753360027.261290073,28,10512
1753360027.273496389,46,10534
1753360027.281172037,28,10514
1753360027.293500900,46,10535
1753360027.301056623,28,10515
1753360027.313688040,46,10536
1753360027.321450949,28,10516
1753360027.333377123,46,10537
1753360027.341029167,28,10518
1753360027.354012012,46,10539
1753360027.360916376,28,10519
1753360027.373345852,46,10540
1753360027.380961895,28,10520
1753360027.393190622,46,10541
1753360027.400851965,28,10522
1753360027.413223743,46,10543
1753360027.421032429,28,10523
1753360027.433177710,46,10544
1753360027.441504955,28,10524
1753360027.453324318,46,10545
1753360027.460754395,28,10526
1753360027.473202705,46,10546
1753360027.480886698,28,10527
1753360027.492980957,46,10548
1753360027.500867367,28,10528
1753360027.513427019,46,10549
1753360027.520615339,28,10529
1753360027.533061981,46,10550
1753360027.540626526,28,10531
1753360027.552869797,46,10551
1753360027.560810089,28,10532
1753360027.573258162,46,10553
1753360027.580476046,28,10533
1753360027.592948198,46,10554
1753360027.601130247,28,10534
1753360027.612700939,46,10555
1753360027.620367289,28,10536
1753360027.632625818,46,10556
1753360027.640442610,28,10537
1753360027.652614117,46,10557
1753360027.660764694,28,10538
1753360027.672693491,46,10558
1753360027.680270910,28,10539
1753360027.692815304,46,10560
1753360027.700268745,28,10540
1753360027.712422371,46,10561
1753360027.720178604,28,10541
1753360027.732606411,46,10562
1753360027.740154743,28,10542
1753360027.752379656,46,10563
1753360027.760963440,28,10543
1753360027.772251844,46,10564
1753360027.780135870,28,10545
1753360027.793222189,46,10565
1753360027.800082922,28,10546
1753360027.812200785,46,10566
1753360027.820312977,28,10547
1753360027.832115173,46,10567
1753360027.839978456,28,10548
1753360027.852406740,46,10568
1753360027.859944344,28,10549
1753360027.872154951,46,10570
1753360027.880068779,28,10550
1753360027.891962290,46,10571
1753360027.899898767,28,10551
1753360027.912097216,46,10572
1753360027.920192480,28,10552
1753360027.931988955,46,10573
1753360027.940356016,28,10553
1753360027.951975346,46,10574
1753360027.959794760,28,10554
1753360027.972007990,46,10575
1753360027.980330229,28,10555
1753360027.991846323,46,10576
1753360027.999912262,28,10556
1753360028.011819124,46,10577
1753360028.019635677,28,10557
1753360028.031750441,46,10578
1753360028.039590359,28,10558
1753360028.051610947,46,10579
1753360028.059673309,28,10559
1753360028.071620464,46,10579
1753360028.079561949,28,10560
1753360028.091659069,46,10580
1753360028.099664688,28,10561
1753360028.111523867,46,10581
1753360028.119439602,28,10562
1753360028.131505728,46,10582
1753360028.139549017,28,10563
1753360028.151465893,46,10583
1753360028.159497499,28,10563
1753360028.171406746,46,10584
1753360028.179410696,28,10564
1753360028.191392660,46,10585
1753360028.199328184,28,10565
1753360028.211714268,46,10586
1753360028.219368458,28,10566
1753360028.231410742,46,10587
1753360028.239250660,28,10567
1753360028.251372099,46,10588
1753360028.259271145,28,10568
1753360028.271250963,46,10588
1753360028.279216528,28,10569
1753360028.291506290,46,10589
1753360028.299125195,28,10570
1753360028.311095238,46,10590
1753360028.319276094,28,10570
1753360028.331004858,46,10591
1753360028.339039564,28,10571
1753360028.351249695,46,10592
1753360028.359014511,28,10572
1753360028.371211529,46,10593
1753360028.379273176,28,10573
1753360028.390849352,46,10593
1753360028.398997784,28,10574
1753360028.410831213,46,10594
1753360028.419169426,28,10574
1753360028.430804968,46,10595
1753360028.439107180,28,10575
1753360028.451135635,46,10596
1753360028.458821774,28,10576
1753360028.470692635,46,10596
1753360028.479013205,28,10577
1753360028.490675688,46,10597
1753360028.498847723,28,10577
1753360028.510763884,46,10598
1753360028.518765450,28,10578
1753360028.530632257,46,10599
1753360028.539572239,28,10579
1753360028.550482750,46,10599
1753360028.558721066,28,10580
1753360028.570606947,46,10600
1753360028.578703165,28,10580
1753360028.590348244,46,10601
1753360028.598723412,28,10581
1753360028.610373259,46,10602
1753360028.618684530,28,10582
1753360028.630842686,46,10602
1753360028.638820171,28,10582
1753360028.650322914,46,10603
1753360028.658477306,28,10583
1753360028.670486450,46,10603
1753360028.678594351,28,10584
1753360028.690190315,46,10604
1753360028.699132919,28,10584
1753360028.710907459,46,10605
1753360028.718629837,28,10585
1753360028.730412006,46,10605
1753360028.738297701,28,10585
1753360028.750053406,46,10606
1753360028.759155512,28,10586
1753360028.769916058,46,10607
1753360028.778211594,28,10587
1753360028.789906502,46,10607
1753360028.798211098,28,10587
1753360028.810157061,46,10608
1753360028.818364859,28,10588
1753360028.829848766,46,10608
1753360028.838251829,28,10588
1753360028.850334883,46,10609
1753360028.858297348,28,10589
